geocodigoFundar,geonombreFundar,anio,valor,apertura_sexo
ARG,Argentina,1980,8.13710843290584,femenino
ARG,Argentina,1986,8.88445891301724,femenino
ARG,Argentina,1988,9.04466146137185,femenino
ARG,Argentina,1991,9.43343479227136,femenino
ARG,Argentina,1992,9.56686344064063,femenino
ARG,Argentina,1993,9.74477150982961,femenino
ARG,Argentina,1994,9.7677983820343,femenino
ARG,Argentina,1995,9.71988775454676,femenino
ARG,Argentina,1996,9.87237864581125,femenino
ARG,Argentina,1997,9.95246652031804,femenino
ARG,Argentina,1998,9.9929398744669,femenino
ARG,Argentina,1999,10.179160158541,femenino
ARG,Argentina,2000,10.2206542046174,femenino
ARG,Argentina,2001,10.3542060668974,femenino
ARG,Argentina,2002,10.480357896128,femenino
ARG,Argentina,2003,10.547732,femenino
ARG,Argentina,2004,10.561895,femenino
ARG,Argentina,2005,10.669592,femenino
ARG,Argentina,2006,10.8045835,femenino
ARG,Argentina,2007,10.90085,femenino
ARG,Argentina,2008,11.020074,femenino
ARG,Argentina,2009,11.1064615,femenino
ARG,Argentina,2010,11.2757905,femenino
ARG,Argentina,2011,11.368052,femenino
ARG,Argentina,2012,11.459466,femenino
ARG,Argentina,2013,11.5220065,femenino
ARG,Argentina,2014,11.482436,femenino
ARG,Argentina,2015,11.505862,femenino
ARG,Argentina,2016,11.66609,femenino
ARG,Argentina,2017,11.715534,femenino
ARG,Argentina,2018,11.8512455,femenino
ARG,Argentina,2019,11.953631,femenino
ARG,Argentina,2020,11.9635025,femenino
ARG,Argentina,2021,12.345976,femenino
ARG,Argentina,2022,12.2,femenino
ARG,Argentina,1980,8.50401460768601,masculino
ARG,Argentina,1986,9.30505807767469,masculino
ARG,Argentina,1988,9.25758718159015,masculino
ARG,Argentina,1991,9.59500222184713,masculino
ARG,Argentina,1992,9.72777182864788,masculino
ARG,Argentina,1993,9.79320803827716,masculino
ARG,Argentina,1994,9.83379945213289,masculino
ARG,Argentina,1995,9.6790951768579,masculino
ARG,Argentina,1996,9.83212390815392,masculino
ARG,Argentina,1997,9.83627168804575,masculino
ARG,Argentina,1998,9.92854452372353,masculino
ARG,Argentina,1999,10.0482291733069,masculino
ARG,Argentina,2000,10.1071654672941,masculino
ARG,Argentina,2001,10.1438153978801,masculino
ARG,Argentina,2002,10.1805759817619,masculino
ARG,Argentina,2003,10.290716,masculino
ARG,Argentina,2004,10.3690415,masculino
ARG,Argentina,2005,10.4623885,masculino
ARG,Argentina,2006,10.527428,masculino
ARG,Argentina,2007,10.619895,masculino
ARG,Argentina,2008,10.720621,masculino
ARG,Argentina,2009,10.7841105,masculino
ARG,Argentina,2010,10.922206,masculino
ARG,Argentina,2011,10.9938575,masculino
ARG,Argentina,2012,11.039563,masculino
ARG,Argentina,2013,11.1708485,masculino
ARG,Argentina,2014,11.05313,masculino
ARG,Argentina,2015,11.014329,masculino
ARG,Argentina,2016,11.153558,masculino
ARG,Argentina,2017,11.194827,masculino
ARG,Argentina,2018,11.3061625,masculino
ARG,Argentina,2019,11.4151895,masculino
ARG,Argentina,2020,11.34068,masculino
ARG,Argentina,2021,11.756695,masculino
ARG,Argentina,2022,11.65,masculino
BOL,Bolivia,1992,5.95124628440933,femenino
BOL,Bolivia,1993,6.19885460465918,femenino
BOL,Bolivia,1997,6.1441989,femenino
BOL,Bolivia,1999,6.2375337,femenino
BOL,Bolivia,2000,6.6336915,femenino
BOL,Bolivia,2001,6.4259777,femenino
BOL,Bolivia,2002,6.3904232,femenino
BOL,Bolivia,2005,7.0668691,femenino
BOL,Bolivia,2006,7.4512896,femenino
BOL,Bolivia,2007,7.6831857,femenino
BOL,Bolivia,2008,7.7833575,femenino
BOL,Bolivia,2009,7.9434517,femenino
BOL,Bolivia,2011,8.3779134,femenino
BOL,Bolivia,2012,8.6378252,femenino
BOL,Bolivia,2013,9.1332782,femenino
BOL,Bolivia,2014,8.5848872,femenino
BOL,Bolivia,2015,8.6423188,femenino
BOL,Bolivia,2016,8.8501247,femenino
BOL,Bolivia,2017,9.1387062,femenino
BOL,Bolivia,2018,9.2122994,femenino
BOL,Bolivia,2019,9.5122214,femenino
BOL,Bolivia,2020,9.7764093,femenino
BOL,Bolivia,2021,9.6855378,femenino
BOL,Bolivia,1992,7.59660035352577,masculino
BOL,Bolivia,1993,8.03381182720856,masculino
BOL,Bolivia,1997,7.8730281,masculino
BOL,Bolivia,1999,8.251962,masculino
BOL,Bolivia,2000,8.4624228,masculino
BOL,Bolivia,2001,8.337143,masculino
BOL,Bolivia,2002,8.1375305,masculino
BOL,Bolivia,2005,8.9717603,masculino
BOL,Bolivia,2006,8.996283,masculino
BOL,Bolivia,2007,9.6618177,masculino
BOL,Bolivia,2008,9.3286273,masculino
BOL,Bolivia,2009,9.5110375,masculino
BOL,Bolivia,2011,9.8510052,masculino
BOL,Bolivia,2012,10.136692,masculino
BOL,Bolivia,2013,10.527951,masculino
BOL,Bolivia,2014,9.8569634,masculino
BOL,Bolivia,2015,10.026053,masculino
BOL,Bolivia,2016,10.19975,masculino
BOL,Bolivia,2017,10.307659,masculino
BOL,Bolivia,2018,10.399142,masculino
BOL,Bolivia,2019,10.682846,masculino
BOL,Bolivia,2020,10.763117,masculino
BOL,Bolivia,2021,10.818067,masculino
BRA,Brasil,1992,5.20970556244188,femenino
BRA,Brasil,1993,5.349231436675,femenino
BRA,Brasil,1995,5.5688926697608,femenino
BRA,Brasil,1996,5.73534371592488,femenino
BRA,Brasil,1997,5.84926530123317,femenino
BRA,Brasil,1998,6.00299404854263,femenino
BRA,Brasil,1999,6.12675225476812,femenino
BRA,Brasil,2001,6.4416847102411,femenino
BRA,Brasil,2002,6.6453422186905,femenino
BRA,Brasil,2003,6.7996849717635,femenino
BRA,Brasil,2004,6.98254016381252,femenino
BRA,Brasil,2005,7.12038519458432,femenino
BRA,Brasil,2006,7.37036971020417,femenino
BRA,Brasil,2007,7.52915883334938,femenino
BRA,Brasil,2008,7.75029568392912,femenino
BRA,Brasil,2009,7.90947040577118,femenino
BRA,Brasil,2011,8.15366944016498,femenino
BRA,Brasil,2012,8.3965594,femenino
BRA,Brasil,2013,8.551899,femenino
BRA,Brasil,2014,8.7933888,femenino
BRA,Brasil,2015,8.9429857,femenino
BRA,Brasil,2016,9.0807579,femenino
BRA,Brasil,2017,9.2415428,femenino
BRA,Brasil,2018,9.4608047,femenino
BRA,Brasil,2019,9.5834576,femenino
BRA,Brasil,2020,9.8746253,femenino
BRA,Brasil,2021,9.9422951,femenino
BRA,Brasil,2022,9.9257455,femenino
BRA,Brasil,1992,5.31746707663466,masculino
BRA,Brasil,1993,5.41727443740908,masculino
BRA,Brasil,1995,5.55584747290975,masculino
BRA,Brasil,1996,5.7126786941822,masculino
BRA,Brasil,1997,5.77919333176274,masculino
BRA,Brasil,1998,5.92945910849529,masculino
BRA,Brasil,1999,5.99087081800015,masculino
BRA,Brasil,2001,6.25125607480499,masculino
BRA,Brasil,2002,6.41752683914286,masculino
BRA,Brasil,2003,6.57097961142923,masculino
BRA,Brasil,2004,6.70621564456584,masculino
BRA,Brasil,2005,6.84139264136265,masculino
BRA,Brasil,2006,7.06316686146125,masculino
BRA,Brasil,2007,7.2044682841861,masculino
BRA,Brasil,2008,7.39447034993815,masculino
BRA,Brasil,2009,7.56366995265455,masculino
BRA,Brasil,2011,7.71551555351659,masculino
BRA,Brasil,2012,7.944449,masculino
BRA,Brasil,2013,8.0649617,masculino
BRA,Brasil,2014,8.2201054,masculino
BRA,Brasil,2015,8.404883,masculino
BRA,Brasil,2016,8.5181618,masculino
BRA,Brasil,2017,8.6570923,masculino
BRA,Brasil,2018,8.8442815,masculino
BRA,Brasil,2019,8.9349038,masculino
BRA,Brasil,2020,9.2168863,masculino
BRA,Brasil,2021,9.3284243,masculino
BRA,Brasil,2022,9.2770306,masculino
DOM,Rep. Dominicana,2000,,femenino
DOM,Rep. Dominicana,2001,,femenino
DOM,Rep. Dominicana,2002,,femenino
DOM,Rep. Dominicana,2003,,femenino
DOM,Rep. Dominicana,2004,,femenino
DOM,Rep. Dominicana,2005,,femenino
DOM,Rep. Dominicana,2006,,femenino
DOM,Rep. Dominicana,2007,,femenino
DOM,Rep. Dominicana,2008,8.4329944574169,femenino
DOM,Rep. Dominicana,2009,8.57937499131504,femenino
DOM,Rep. Dominicana,2010,8.75166848360628,femenino
DOM,Rep. Dominicana,2011,8.80682271268627,femenino
DOM,Rep. Dominicana,2012,9.04183061365358,femenino
DOM,Rep. Dominicana,2013,9.0944879938165,femenino
DOM,Rep. Dominicana,2014,9.27664436880759,femenino
DOM,Rep. Dominicana,2015,9.49735235859416,femenino
DOM,Rep. Dominicana,2016,9.7321729,femenino
DOM,Rep. Dominicana,2017,9.8177536,femenino
DOM,Rep. Dominicana,2018,9.9476846,femenino
DOM,Rep. Dominicana,2019,10.219565,femenino
DOM,Rep. Dominicana,2020,10.168646,femenino
DOM,Rep. Dominicana,2021,10.35351,femenino
DOM,Rep. Dominicana,2022,10.38241,femenino
DOM,Rep. Dominicana,2000,,masculino
DOM,Rep. Dominicana,2001,,masculino
DOM,Rep. Dominicana,2002,,masculino
DOM,Rep. Dominicana,2003,,masculino
DOM,Rep. Dominicana,2004,,masculino
DOM,Rep. Dominicana,2005,,masculino
DOM,Rep. Dominicana,2006,,masculino
DOM,Rep. Dominicana,2007,,masculino
DOM,Rep. Dominicana,2008,7.95469753738835,masculino
DOM,Rep. Dominicana,2009,8.15963878722992,masculino
DOM,Rep. Dominicana,2010,8.1552631617565,masculino
DOM,Rep. Dominicana,2011,8.22061543142008,masculino
DOM,Rep. Dominicana,2012,8.40898973339631,masculino
DOM,Rep. Dominicana,2013,8.47005188100978,masculino
DOM,Rep. Dominicana,2014,8.60960079672656,masculino
DOM,Rep. Dominicana,2015,8.76390975310807,masculino
DOM,Rep. Dominicana,2016,8.8118375,masculino
DOM,Rep. Dominicana,2017,8.8715461,masculino
DOM,Rep. Dominicana,2018,9.103194,masculino
DOM,Rep. Dominicana,2019,9.2581909,masculino
DOM,Rep. Dominicana,2020,9.2206604,masculino
DOM,Rep. Dominicana,2021,9.257119,masculino
DOM,Rep. Dominicana,2022,9.236425,masculino
ECU,Ecuador,1994,6.83775605933982,femenino
ECU,Ecuador,1995,7.36174815353343,femenino
ECU,Ecuador,1998,7.65256829702099,femenino
ECU,Ecuador,1999,7.7571270969221,femenino
ECU,Ecuador,2006,8.4866899,femenino
ECU,Ecuador,2003,8.2572863,femenino
ECU,Ecuador,2004,8.4013174,femenino
ECU,Ecuador,2005,8.4496677,femenino
ECU,Ecuador,2007,8.5169748,femenino
ECU,Ecuador,2008,8.5571502,femenino
ECU,Ecuador,2009,8.6653834,femenino
ECU,Ecuador,2010,8.8387964,femenino
ECU,Ecuador,2011,8.9948989,femenino
ECU,Ecuador,2012,9.1647678,femenino
ECU,Ecuador,2013,9.2253544,femenino
ECU,Ecuador,2014,9.2617732,femenino
ECU,Ecuador,2015,9.6360976,femenino
ECU,Ecuador,2016,9.6419995,femenino
ECU,Ecuador,2017,9.7379001,femenino
ECU,Ecuador,2018,9.5998026,femenino
ECU,Ecuador,2019,9.7092578,femenino
ECU,Ecuador,2020,9.8479768,femenino
ECU,Ecuador,2021,10.116094,femenino
ECU,Ecuador,2022,10.02381,femenino
ECU,Ecuador,1994,7.34497086915894,masculino
ECU,Ecuador,1995,7.80608072043233,masculino
ECU,Ecuador,1998,8.20137087029508,masculino
ECU,Ecuador,1999,8.21402338352984,masculino
ECU,Ecuador,2006,8.8651713,masculino
ECU,Ecuador,2003,8.5764023,masculino
ECU,Ecuador,2004,8.6533566,masculino
ECU,Ecuador,2005,8.8016964,masculino
ECU,Ecuador,2007,8.8664625,masculino
ECU,Ecuador,2008,8.8939974,masculino
ECU,Ecuador,2009,8.9635965,masculino
ECU,Ecuador,2010,9.0738183,masculino
ECU,Ecuador,2011,9.2322823,masculino
ECU,Ecuador,2012,9.4126701,masculino
ECU,Ecuador,2013,9.3856496,masculino
ECU,Ecuador,2014,9.3982802,masculino
ECU,Ecuador,2015,9.6799756,masculino
ECU,Ecuador,2016,9.6400547,masculino
ECU,Ecuador,2017,9.7382177,masculino
ECU,Ecuador,2018,9.6532597,masculino
ECU,Ecuador,2019,9.7272886,masculino
ECU,Ecuador,2020,9.7131702,masculino
ECU,Ecuador,2021,10.013965,masculino
ECU,Ecuador,2022,9.998843,masculino
PER,Perú,2001,7.78331702697794,femenino
PER,Perú,2002,8.02152291199915,femenino
PER,Perú,2003,7.8998817,femenino
PER,Perú,2004,8.0477148,femenino
PER,Perú,2005,8.1447621,femenino
PER,Perú,2006,8.3203584,femenino
PER,Perú,2007,8.6011036,femenino
PER,Perú,2008,8.6540764,femenino
PER,Perú,2009,8.7453938,femenino
PER,Perú,2010,8.7556667,femenino
PER,Perú,2011,8.8563862,femenino
PER,Perú,2012,9.1032771,femenino
PER,Perú,2013,9.0051169,femenino
PER,Perú,2014,8.9994763,femenino
PER,Perú,2015,9.1557855,femenino
PER,Perú,2016,9.1595826,femenino
PER,Perú,2017,9.2318818,femenino
PER,Perú,2018,9.2826692,femenino
PER,Perú,2019,9.4435911,femenino
PER,Perú,2020,9.3699756,femenino
PER,Perú,2021,9.379542,femenino
PER,Perú,2022,9.5280373,femenino
PER,Perú,2001,9.33187953516762,masculino
PER,Perú,2002,9.50383372290045,masculino
PER,Perú,2003,9.3503969,masculino
PER,Perú,2004,9.4505593,masculino
PER,Perú,2005,9.454714,masculino
PER,Perú,2006,9.6423707,masculino
PER,Perú,2007,9.9455297,masculino
PER,Perú,2008,9.9943932,masculino
PER,Perú,2009,10.041415,masculino
PER,Perú,2010,10.121548,masculino
PER,Perú,2011,10.068597,masculino
PER,Perú,2012,10.206669,masculino
PER,Perú,2013,10.215137,masculino
PER,Perú,2014,10.19528,masculino
PER,Perú,2015,10.195047,masculino
PER,Perú,2016,10.291131,masculino
PER,Perú,2017,10.313282,masculino
PER,Perú,2018,10.457074,masculino
PER,Perú,2019,10.529285,masculino
PER,Perú,2020,10.4124,masculino
PER,Perú,2021,10.372656,masculino
PER,Perú,2022,10.527366,masculino
PRY,Paraguay,1990,6.1400609369173,femenino
PRY,Paraguay,1995,6.1823884,femenino
PRY,Paraguay,1997,6.3986792,femenino
PRY,Paraguay,1999,6.5772377,femenino
PRY,Paraguay,2001,6.815948,femenino
PRY,Paraguay,2002,6.8102078,femenino
PRY,Paraguay,2003,7.2077054,femenino
PRY,Paraguay,2004,7.169285,femenino
PRY,Paraguay,2005,7.6902196,femenino
PRY,Paraguay,2006,7.590432,femenino
PRY,Paraguay,2007,7.7664208,femenino
PRY,Paraguay,2008,8.0178925,femenino
PRY,Paraguay,2009,8.1004483,femenino
PRY,Paraguay,2010,8.1141713,femenino
PRY,Paraguay,2011,8.5779504,femenino
PRY,Paraguay,2012,8.518196,femenino
PRY,Paraguay,2013,9.0505128,femenino
PRY,Paraguay,2014,9.1023193,femenino
PRY,Paraguay,2015,9.3028678,femenino
PRY,Paraguay,2016,9.1787337,femenino
PRY,Paraguay,2017,9.279289,femenino
PRY,Paraguay,2018,9.406945,femenino
PRY,Paraguay,2019,9.6820388,femenino
PRY,Paraguay,2020,9.7915291,femenino
PRY,Paraguay,2021,9.9898577,femenino
PRY,Paraguay,1990,6.43434964090739,masculino
PRY,Paraguay,1995,6.662076,masculino
PRY,Paraguay,1997,6.9310007,masculino
PRY,Paraguay,1999,7.001812,masculino
PRY,Paraguay,2001,7.1071084,masculino
PRY,Paraguay,2002,6.9334351,masculino
PRY,Paraguay,2003,7.4744802,masculino
PRY,Paraguay,2004,7.3559152,masculino
PRY,Paraguay,2005,7.90603,masculino
PRY,Paraguay,2006,7.8006094,masculino
PRY,Paraguay,2007,8.0110662,masculino
PRY,Paraguay,2008,8.2478265,masculino
PRY,Paraguay,2009,8.3040545,masculino
PRY,Paraguay,2010,8.2705094,masculino
PRY,Paraguay,2011,8.6732965,masculino
PRY,Paraguay,2012,8.5601715,masculino
PRY,Paraguay,2013,9.0067465,masculino
PRY,Paraguay,2014,9.0553751,masculino
PRY,Paraguay,2015,9.2992795,masculino
PRY,Paraguay,2016,9.0552781,masculino
PRY,Paraguay,2017,9.2128571,masculino
PRY,Paraguay,2018,9.4300523,masculino
PRY,Paraguay,2019,9.7451983,masculino
PRY,Paraguay,2020,9.712219,masculino
PRY,Paraguay,2021,9.7532426,masculino
URY,Uruguay,1989,7.30617915765314,femenino
URY,Uruguay,1992,7.90606023082529,femenino
URY,Uruguay,1995,8.24445999986933,femenino
URY,Uruguay,1996,8.43537270227335,femenino
URY,Uruguay,1997,8.42958648528393,femenino
URY,Uruguay,1998,8.74940954448019,femenino
URY,Uruguay,2000,8.80952970049738,femenino
URY,Uruguay,2001,9.19071157683086,femenino
URY,Uruguay,2002,9.31750136055704,femenino
URY,Uruguay,2003,9.41689541215547,femenino
URY,Uruguay,2004,9.56613852825718,femenino
URY,Uruguay,2005,9.63292496678261,femenino
URY,Uruguay,2006,9.4863995,femenino
URY,Uruguay,2007,9.6260833,femenino
URY,Uruguay,2008,9.59339280000001,femenino
URY,Uruguay,2009,9.739313,femenino
URY,Uruguay,2010,9.66594710000001,femenino
URY,Uruguay,2011,10.116925,femenino
URY,Uruguay,2012,10.244094,femenino
URY,Uruguay,2013,10.181773,femenino
URY,Uruguay,2014,10.312019,femenino
URY,Uruguay,2015,10.35143,femenino
URY,Uruguay,2016,10.379785,femenino
URY,Uruguay,2017,10.528172,femenino
URY,Uruguay,2018,10.584771,femenino
URY,Uruguay,2019,10.65178,femenino
URY,Uruguay,2020,10.792633,femenino
URY,Uruguay,1989,7.6000755366644,masculino
URY,Uruguay,1992,7.682270412185,masculino
URY,Uruguay,1995,7.96222942929533,masculino
URY,Uruguay,1996,8.05769824406727,masculino
URY,Uruguay,1997,8.08887804439974,masculino
URY,Uruguay,1998,8.33246638900542,masculino
URY,Uruguay,2000,8.38253264478371,masculino
