"anio","vab_pb","provincia","share","geocodigo"
"2004","37.1713419627947","CABA","2.5768773162485","AR-C"
"2005","36.5831914654599","CABA","2.74726798756974","AR-C"
"2006","46.5239746933563","CABA","2.18308781692084","AR-C"
"2007","44.7717336106656","CABA","2.33802884220935","AR-C"
"2008","45.7638075499827","CABA","2.26927434082212","AR-C"
"2009","32.0356724292424","CABA","1.98415527777129","AR-C"
"2010","30.7067912962403","CABA","1.85130647744241","AR-C"
"2011","29.3076319828324","CABA","1.6792890636463","AR-C"
"2012","27.1055599909456","CABA","1.54399094064443","AR-C"
"2013","24.6318315570712","CABA","1.14169707178666","AR-C"
"2014","25.2706902047355","CABA","1.15687158125698","AR-C"
"2015","23.3537381723211","CABA","1.04288053735444","AR-C"
"2016","23.8121038486674","CABA","1.06479615366015","AR-C"
"2017","24.2681943296571","CABA","0.94944779851293","AR-C"
"2018","24.9404691803036","CABA","0.925568420370845","AR-C"
"2019","26.4821853047309","CABA","1.09307826184542","AR-C"
"2020","21.970088359074","CABA","1.08913664008028","AR-C"
"2021","23.8961743707747","CABA","0.994944580242902","AR-C"
"2022","28.1814886066174","CABA","1.149749236169","AR-C"
"2023","24.4157389733223","CABA","1.06473014893737","AR-C"
"2004","458.77333860634","Buenos Aires","31.804141231639","AR-B"
"2005","447.618558961788","Buenos Aires","33.6145669204086","AR-B"
"2006","613.181543033584","Buenos Aires","28.7728889240518","AR-B"
"2007","570.167289446754","Buenos Aires","29.7747587619272","AR-B"
"2008","638.292369076785","Buenos Aires","31.6507863447883","AR-B"
"2009","543.824604410201","Buenos Aires","33.6822166416408","AR-B"
"2010","568.627922056017","Buenos Aires","34.2824668719397","AR-B"
"2011","567.490508266389","Buenos Aires","32.516465499944","AR-B"
"2012","537.197720900921","Buenos Aires","30.5999364957934","AR-B"
"2013","702.966622841146","Buenos Aires","32.5828362784127","AR-B"
"2014","679.802700843623","Buenos Aires","31.1208130484839","AR-B"
"2015","713.449791934075","Buenos Aires","31.8596918787701","AR-B"
"2016","716.199223181289","Buenos Aires","32.025989091279","AR-B"
"2017","734.741737913127","Buenos Aires","28.7453988566705","AR-B"
"2018","725.406096510217","Buenos Aires","26.9206232657636","AR-B"
"2019","701.474426484398","Buenos Aires","28.9540473343639","AR-B"
"2020","622.237702305129","Buenos Aires","30.8465705437175","AR-B"
"2021","713.047167915521","Buenos Aires","29.6885352511804","AR-B"
"2022","776.688747858325","Buenos Aires","31.6873713470721","AR-B"
"2023","710.60120884532","Buenos Aires","30.9881479219469","AR-B"
"2004","3.42805189680506","Corrientes","0.237647303146638","AR-W"
"2005","3.08383150747527","Corrientes","0.231584813685398","AR-W"
"2006","6.30504901969424","Corrientes","0.295857690378048","AR-W"
"2007","5.38519712937892","Corrientes","0.281220877416985","AR-W"
"2008","5.93824924176621","Corrientes","0.294457942972264","AR-W"
"2009","3.99410032553868","Corrientes","0.247377833518852","AR-W"
"2010","4.1569131565503","Corrientes","0.250619486049309","AR-W"
"2011","4.41908058660158","Corrientes","0.253207550333601","AR-W"
"2012","4.72478044527701","Corrientes","0.269133646620047","AR-W"
"2013","6.77612053910392","Corrientes","0.314076399866719","AR-W"
"2014","6.92248490101391","Corrientes","0.316905711271899","AR-W"
"2015","7.05952530889625","Corrientes","0.315248954719153","AR-W"
"2016","7.03680979343982","Corrientes","0.314662158779058","AR-W"
"2017","8.76492969096544","Corrientes","0.342911511510273","AR-W"
"2018","9.48541289295259","Corrientes","0.35201417280589","AR-W"
"2019","8.04178119024955","Corrientes","0.331932433234986","AR-W"
"2020","6.15848332214113","Corrientes","0.305298263886907","AR-W"
"2021","7.96070128082776","Corrientes","0.331452912562403","AR-W"
"2022","8.29520246658014","Corrientes","0.338427924548252","AR-W"
"2023","7.44216273367291","Corrientes","0.324540455011324","AR-W"
"2004","3.42805189680506","Chaco","0.237647303146638","AR-H"
"2005","3.08383150747527","Chaco","0.231584813685398","AR-H"
"2006","6.30504901969424","Chaco","0.295857690378048","AR-H"
"2007","5.38519712937892","Chaco","0.281220877416985","AR-H"
"2008","5.93824924176621","Chaco","0.294457942972264","AR-H"
"2009","3.99410032553868","Chaco","0.247377833518852","AR-H"
"2010","4.1569131565503","Chaco","0.250619486049309","AR-H"
"2011","4.41908058660158","Chaco","0.253207550333601","AR-H"
"2012","4.72478044527701","Chaco","0.269133646620047","AR-H"
"2013","6.77612053910392","Chaco","0.314076399866719","AR-H"
"2014","6.92248490101391","Chaco","0.316905711271899","AR-H"
"2015","7.05952530889625","Chaco","0.315248954719153","AR-H"
"2016","7.03680979343982","Chaco","0.314662158779058","AR-H"
"2017","8.76492969096544","Chaco","0.342911511510273","AR-H"
"2018","9.48541289295259","Chaco","0.35201417280589","AR-H"
"2019","8.04178119024955","Chaco","0.331932433234986","AR-H"
"2020","6.15848332214113","Chaco","0.305298263886907","AR-H"
"2021","7.96070128082776","Chaco","0.331452912562403","AR-H"
"2022","8.29520246658014","Chaco","0.338427924548252","AR-H"
"2023","7.44216273367291","Chaco","0.324540455011324","AR-H"
"2004","362.679851092003","Chubut","25.1425273339553","AR-U"
"2005","326.712851354678","Chubut","24.5349769033076","AR-U"
"2006","486.639882540335","Chubut","22.8350566735499","AR-U"
"2007","432.871003232564","Chubut","22.6049966998092","AR-U"
"2008","406.006627992702","Chubut","20.1325124029786","AR-U"
"2009","315.606421824264","Chubut","19.5473389529828","AR-U"
"2010","349.623889401794","Chubut","21.0787563205081","AR-U"
"2011","375.71076619141","Chubut","21.5277365680375","AR-U"
"2012","340.963874665829","Chubut","19.4220349532316","AR-U"
"2013","430.299806690604","Chubut","19.9446000656006","AR-U"
"2014","494.213290519675","Chubut","22.6246812512692","AR-U"
"2015","482.792428406624","Chubut","21.5594961051717","AR-U"
"2016","476.959199015426","Chubut","21.3279903276112","AR-U"
"2017","664.326359716031","Chubut","25.9905286383705","AR-U"
"2018","728.41917535182","Chubut","27.0324419570527","AR-U"
"2019","667.775902664682","Chubut","27.5631075980941","AR-U"
"2020","613.414217596153","Chubut","30.4091585345954","AR-U"
"2021","726.762563728498","Chubut","30.2595914595205","AR-U"
"2022","677.235015736325","Chubut","27.6298549348775","AR-U"
"2023","650.324323124333","Chubut","28.3595722486358","AR-U"
"2004","10.2841556904152","Entre Ríos","0.712941909439914","AR-E"
"2005","9.2514945224258","Entre Ríos","0.694754441056193","AR-E"
"2006","18.9151470590827","Entre Ríos","0.887573071134144","AR-E"
"2007","16.1555913881367","Entre Ríos","0.843662632250955","AR-E"
"2008","17.8147477252986","Entre Ríos","0.883373828916793","AR-E"
"2009","11.982300976616","Entre Ríos","0.742133500556554","AR-E"
"2010","12.4707394696509","Entre Ríos","0.751858458147928","AR-E"
"2011","13.2572417598047","Entre Ríos","0.759622651000803","AR-E"
"2012","14.174341335831","Entre Ríos","0.807400939860141","AR-E"
"2013","20.3283616173118","Entre Ríos","0.942229199600157","AR-E"
"2014","20.7674547030417","Entre Ríos","0.950717133815697","AR-E"
"2015","21.1785759266888","Entre Ríos","0.945746864157458","AR-E"
"2016","21.1104293803194","Entre Ríos","0.943986476337173","AR-E"
"2017","26.2947890728963","Entre Ríos","1.02873453453082","AR-E"
"2018","28.4562386788578","Entre Ríos","1.05604251841767","AR-E"
"2019","24.1253435707486","Entre Ríos","0.995797299704959","AR-E"
"2020","18.4754499664234","Entre Ríos","0.915894791660722","AR-E"
"2021","23.8821038424833","Entre Ríos","0.994358737687208","AR-E"
"2022","24.8856073997404","Entre Ríos","1.01528377364476","AR-E"
"2023","22.3264882010187","Entre Ríos","0.973621365033973","AR-E"
"2004","3.42805189680506","Formosa","0.237647303146638","AR-P"
"2005","3.08383150747527","Formosa","0.231584813685398","AR-P"
"2006","6.30504901969424","Formosa","0.295857690378048","AR-P"
"2007","5.38519712937892","Formosa","0.281220877416985","AR-P"
"2008","5.93824924176621","Formosa","0.294457942972264","AR-P"
"2009","3.99410032553868","Formosa","0.247377833518852","AR-P"
"2010","4.1569131565503","Formosa","0.250619486049309","AR-P"
"2011","4.41908058660158","Formosa","0.253207550333601","AR-P"
"2012","4.72478044527701","Formosa","0.269133646620047","AR-P"
"2013","6.77612053910392","Formosa","0.314076399866719","AR-P"
"2014","6.92248490101391","Formosa","0.316905711271899","AR-P"
"2015","7.05952530889625","Formosa","0.315248954719153","AR-P"
"2016","7.03680979343982","Formosa","0.314662158779058","AR-P"
"2017","8.76492969096544","Formosa","0.342911511510273","AR-P"
"2018","9.48541289295259","Formosa","0.35201417280589","AR-P"
"2019","8.04178119024955","Formosa","0.331932433234986","AR-P"
"2020","6.15848332214113","Formosa","0.305298263886907","AR-P"
"2021","7.96070128082776","Formosa","0.331452912562403","AR-P"
"2022","8.29520246658014","Formosa","0.338427924548252","AR-P"
"2023","7.44216273367291","Formosa","0.324540455011324","AR-P"
"2004","23.7326669778812","Neuquén","1.64525056024595","AR-Q"
"2005","21.3496027440595","Neuquén","1.60327947936045","AR-Q"
"2006","43.6503393671139","Neuquén","2.0482455487711","AR-Q"
"2007","37.2821339726233","Neuquén","1.94691376673297","AR-Q"
"2008","41.1109562891507","Neuquén","2.03855498980798","AR-Q"
"2009","27.6514637921908","Neuquén","1.71261577051513","AR-Q"
"2010","28.7786295453482","Neuquén","1.73505798034137","AR-Q"
"2011","30.5936348303186","Neuquén","1.75297534846339","AR-Q"
"2012","32.7100184673024","Neuquén","1.86323293813879","AR-Q"
"2013","46.9116037322579","Neuquén","2.17437507600036","AR-Q"
"2014","47.9248954685578","Neuquén","2.19396261649776","AR-Q"
"2015","48.8736367538971","Neuquén","2.18249276344029","AR-Q"
"2016","48.7163754930449","Neuquén","2.17843033000886","AR-Q"
"2017","60.6802824759146","Neuquén","2.37400277199419","AR-Q"
"2018","65.6682431050564","Neuquén","2.43702119634847","AR-Q"
"2019","55.6738697786507","Neuquén","2.29799376854991","AR-Q"
"2020","42.6356537686694","Neuquén","2.1136033653709","AR-Q"
"2021","55.1125473288076","Neuquén","2.2946740100474","AR-Q"
"2022","57.4283247686318","Neuquén","2.34296255456482","AR-Q"
"2023","51.522665079274","Neuquén","2.24681853469378","AR-Q"
"2004","44.8618040789825","Río Negro","3.1100132304296","AR-R"
"2005","38.4306347999353","Río Negro","2.88600443259656","AR-R"
"2006","61.4315735493701","Río Negro","2.88261096937312","AR-R"
"2007","55.8048428641912","Río Negro","2.91418986108588","AR-R"
"2008","60.3981664549551","Río Negro","2.99494331233776","AR-R"
"2009","44.9848215543765","Río Negro","2.78617130025469","AR-R"
"2010","47.5872654108027","Río Negro","2.86902698002109","AR-R"
"2011","45.2281697381651","Río Negro","2.59151509936146","AR-R"
"2012","45.0730770894136","Río Negro","2.5674593225991","AR-R"
"2013","65.7183459420203","Río Negro","3.04607649458887","AR-R"
"2014","69.3132619511661","Río Negro","3.17310458503022","AR-R"
"2015","58.1134790275414","Río Negro","2.59510557961158","AR-R"
"2016","74.0801510081394","Río Negro","3.3126119538759","AR-R"
"2017","103.931988834484","Río Negro","4.06614503961593","AR-R"
"2018","96.7050572850672","Río Negro","3.58883172831002","AR-R"
"2019","74.4069685915175","Río Negro","3.07122085890218","AR-R"
"2020","71.1339883209664","Río Negro","3.52636875051115","AR-R"
"2021","99.4206846056107","Río Negro","4.13949403689359","AR-R"
"2022","86.6577909631959","Río Negro","3.53546721249608","AR-R"
"2023","56.9524696045452","Río Negro","2.48360336382428","AR-R"
"2004","285.363465343342","Santa Cruz","19.7826228997958","AR-Z"
"2005","250.024871022889","Santa Cruz","18.7759814478177","AR-Z"
"2006","587.306192066452","Santa Cruz","27.558715719221","AR-Z"
"2007","514.014943136262","Santa Cruz","26.8424218912284","AR-Z"
"2008","537.101793614249","Santa Cruz","26.6330837382174","AR-Z"
"2009","405.347717354332","Santa Cruz","25.1055386615514","AR-Z"
"2010","400.680324609652","Santa Cruz","24.1569388731411","AR-Z"
"2011","482.973873498711","Santa Cruz","27.6737726292035","AR-Z"
"2012","542.135710325835","Santa Cruz","30.8812149840302","AR-Z"
"2013","673.869220564141","Santa Cruz","31.2341578864188","AR-Z"
"2014","659.820155351937","Santa Cruz","30.20602841802","AR-Z"
"2015","691.605821898058","Santa Cruz","30.8842312890768","AR-Z"
"2016","694.934677149723","Santa Cruz","31.0751110433904","AR-Z"
"2017","749.763990767774","Santa Cruz","29.3331164555904","AR-Z"
"2018","805.657015418382","Santa Cruz","29.898823704182","AR-Z"
"2019","675.370493987028","Santa Cruz","27.8765818294134","AR-Z"
"2020","447.040862207449","Santa Cruz","22.1614303359012","AR-Z"
"2021","555.943237739836","Santa Cruz","23.1473332396013","AR-Z"
"2022","600.56515765994","Santa Cruz","24.5018757145105","AR-Z"
"2023","618.365150693341","Santa Cruz","26.9658853952686","AR-Z"
"2004","10.2841556904152","Santa Fe","0.712941909439914","AR-S"
"2005","9.2514945224258","Santa Fe","0.694754441056193","AR-S"
"2006","18.9151470590827","Santa Fe","0.887573071134144","AR-S"
"2007","16.1555913881367","Santa Fe","0.843662632250955","AR-S"
"2008","17.8147477252986","Santa Fe","0.883373828916793","AR-S"
"2009","11.982300976616","Santa Fe","0.742133500556554","AR-S"
"2010","12.4707394696509","Santa Fe","0.751858458147928","AR-S"
"2011","13.2572417598047","Santa Fe","0.759622651000803","AR-S"
"2012","14.174341335831","Santa Fe","0.807400939860141","AR-S"
"2013","20.3283616173118","Santa Fe","0.942229199600157","AR-S"
"2014","20.7674547030417","Santa Fe","0.950717133815697","AR-S"
"2015","21.1785759266888","Santa Fe","0.945746864157458","AR-S"
"2016","21.1104293803194","Santa Fe","0.943986476337173","AR-S"
"2017","26.2947890728963","Santa Fe","1.02873453453082","AR-S"
"2018","28.4562386788578","Santa Fe","1.05604251841767","AR-S"
"2019","24.1253435707486","Santa Fe","0.995797299704959","AR-S"
"2020","18.4754499664234","Santa Fe","0.915894791660722","AR-S"
"2021","23.8821038424833","Santa Fe","0.994358737687208","AR-S"
"2022","24.8856073997404","Santa Fe","1.01528377364476","AR-S"
"2023","22.3264882010187","Santa Fe","0.973621365033973","AR-S"
"2004","199.060667138066","Tierra del Fuego","13.7997416993661","AR-V"
"2005","183.146588293138","Tierra del Fuego","13.7536595057708","AR-V"
"2006","235.629767237418","Tierra del Fuego","11.0566751347098","AR-V"
"2007","211.556322390821","Tierra del Fuego","11.0477022802541","AR-V"
"2008","234.553476876332","Tierra del Fuego","11.6307233842975","AR-V"
"2009","209.177262307045","Tierra del Fuego","12.9555628936142","AR-V"
"2010","195.238166844488","Tierra del Fuego","11.7708711221624","AR-V"
"2011","174.164138524603","Tierra del Fuego","9.97937783834147","AR-V"
"2012","187.842765369683","Tierra del Fuego","10.699927545982","AR-V"
"2013","152.092716592031","Tierra del Fuego","7.04956952839145","AR-V"
"2014","145.751551003006","Tierra del Fuego","6.67238709799495","AR-V"
"2015","157.624691296488","Tierra del Fuego","7.03886125410267","AR-V"
"2016","138.273318057678","Tierra del Fuego","6.18311167116303","AR-V"
"2017","139.435581812645","Tierra del Fuego","5.45515683565304","AR-V"
"2018","162.446304088474","Tierra del Fuego","6.02856217271933","AR-V"
"2019","149.156430092428","Tierra del Fuego","6.15657844971626","AR-V"
"2020","143.343346207809","Tierra del Fuego","7.10604745484138","AR-V"
"2021","155.93065147358","Tierra del Fuego","6.49235120945237","AR-V"
"2022","149.685354435974","Tierra del Fuego","6.10686767937572","AR-V"
"2023","113.97766756889","Tierra del Fuego","4.97037829159123","AR-V"
